"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Swag Labs","Login","Login valid user","0","0","1","0","0"
"Swag Labs","Login","Login invalid user","0","0","1","0","0"
"Swag Labs","Checkout","Add Item to cart","0","0","1","0","0"
